Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-04-02,2019,4,2,Tuesday,13,2019-13,46.75,46.93000030517578,46.56999969482422,46.56999969482422,8495000,38.996177673339844,-0.003210751806194123,38.57570539202009,38.83469039916992
2019-04-03,2019,4,3,Wednesday,13,2019-13,46.41999816894531,46.59000015258789,46.040000915527344,46.18000030517578,12854500,38.669612884521484,-0.008374276872823327,38.60441562107631,38.815815963745116
2019-04-04,2019,4,4,Thursday,13,2019-13,46.34000015258789,46.540000915527344,46.11000061035156,46.47999954223633,7814900,38.92081832885742,0.006496197546277616,38.67499297005789,38.79283409118652
2019-04-05,2019,4,5,Friday,13,2019-13,46.4900016784668,46.58000183105469,46.20000076293945,46.470001220703125,7677600,38.912452697753906,-0.00021493975365138862,38.738393783569336,38.779314575195315
2019-04-08,2019,4,8,Monday,14,2019-14,46.540000915527344,46.56999969482422,46.27000045776367,46.54999923706055,9421300,38.979434967041016,0.0017213581936708078,38.797607421875,38.77244735717773
2019-04-09,2019,4,9,Tuesday,14,2019-14,46.45000076293945,46.720001220703125,46.27000045776367,46.66999816894531,8641800,39.07992172241211,0.0025779428423233774,38.865793228149414,38.77091026306152
2019-04-10,2019,4,10,Wednesday,14,2019-14,46.84000015258789,47.0,46.560001373291016,46.63999938964844,8059900,39.05479431152344,-0.0006429749544319963,38.933380126953125,38.76505210876465
2019-04-11,2019,4,11,Thursday,14,2019-14,46.720001220703125,46.75,46.540000915527344,46.709999084472656,7352400,39.1134147644043,0.0015009796854457136,38.98003332955496,38.75272933959961
2019-04-12,2019,4,12,Friday,14,2019-14,46.66999816894531,46.93000030517578,46.56999969482422,46.7400016784668,10690000,39.1385383605957,0.0006423268421520412,39.022499901907786,38.736426239013674
2019-04-15,2019,4,15,Monday,15,2019-15,46.880001068115234,47.040000915527344,46.70000076293945,47.0,10261300,39.35625076293945,0.005562609424447418,39.044032505580354,38.71501403808594
2019-04-16,2019,4,16,Tuesday,15,2019-15,47.04999923706055,47.099998474121094,46.70000076293945,46.95000076293945,10804600,39.31438446044922,-0.0010637777145595662,39.0643686567034,38.68363334655762
2019-04-17,2019,4,17,Wednesday,15,2019-15,47.20000076293945,47.54999923706055,47.150001525878906,47.279998779296875,11849300,39.59071731567383,0.00702879770386855,39.10623741149902,38.657613372802736
2019-04-18,2019,4,18,Thursday,15,2019-15,47.33000183105469,47.58000183105469,47.27000045776367,47.47999954223633,12167000,39.75818634033203,0.004230007335378705,39.14332090105329,38.634942779541014
2019-04-22,2019,4,22,Monday,16,2019-16,47.400001525878906,47.61000061035156,47.02000045776367,47.400001525878906,9834700,39.691200256347656,-0.001684837517762272,39.18399320329939,38.60827606201172
2019-04-23,2019,4,23,Tuesday,16,2019-16,48.09000015258789,48.720001220703125,47.54999923706055,48.209999084472656,25327800,40.369468688964844,0.017088634967865834,39.28208541870117,38.59384635925293
2019-04-24,2019,4,24,Wednesday,16,2019-16,48.029998779296875,48.22999954223633,47.91999816894531,47.97999954223633,15997300,40.176876068115234,-0.004770749457553736,39.38974707467215,38.573738479614256
2019-04-25,2019,4,25,Thursday,16,2019-16,47.7400016784668,47.88999938964844,47.470001220703125,47.84000015258789,11444400,40.05964279174805,-0.0029179291134640017,39.47109167916434,38.55045593261719
2019-04-26,2019,4,26,Friday,16,2019-16,47.9900016784668,48.45000076293945,47.97999954223633,48.2599983215332,10154300,40.41133117675781,0.008779119345572628,39.57815442766462,38.53204864501953
2019-04-29,2019,4,29,Monday,17,2019-17,48.16999816894531,48.45000076293945,48.11000061035156,48.41999816894531,9731500,40.545310974121094,0.0033154017316889828,39.690002713884624,38.58605117797852
2019-04-30,2019,4,30,Tuesday,17,2019-17,48.529998779296875,49.18000030517578,48.38999938964844,49.060001373291016,17912900,41.08122253417969,0.013217596491013506,39.83295277186802,38.656582794189454
2019-05-01,2019,5,1,Wednesday,17,2019-17,48.95000076293945,49.08000183105469,48.54999923706055,48.59000015258789,10551200,40.68766403198242,-0.009580009501173548,39.94958632332938,38.726050262451174
2019-05-02,2019,5,2,Thursday,17,2019-17,48.529998779296875,48.77000045776367,48.27000045776367,48.38999938964844,8724600,40.52018356323242,-0.004116246846178062,40.05006980895996,38.78768569946289
2019-05-03,2019,5,3,Friday,17,2019-17,48.599998474121094,48.959999084472656,48.52000045776367,48.720001220703125,7076900,40.7965202331543,0.006819728975083317,40.16849708557129,38.84222984313965
2019-05-06,2019,5,6,Monday,18,2019-18,48.33000183105469,48.61000061035156,48.2599983215332,48.470001220703125,8657800,40.58717727661133,-0.005131392465498541,40.25642040797642,38.90221641540527
2019-05-07,2019,5,7,Tuesday,18,2019-18,48.22999954223633,48.290000915527344,47.77000045776367,48.0,12487500,40.19362258911133,-0.009696527669757149,40.31922313145229,38.95997673034668
2019-05-08,2019,5,8,Wednesday,18,2019-18,48.04999923706055,48.22999954223633,47.81999969482422,47.849998474121094,9281400,40.06801223754883,-0.003125131388294622,40.35331562587193,39.019375534057616
2019-05-09,2019,5,9,Thursday,18,2019-18,47.79999923706055,47.97999954223633,47.06999969482422,47.400001525878906,11450500,39.691200256347656,-0.009404309327030957,40.34853090558733,39.06708740234375
2019-05-10,2019,5,10,Friday,18,2019-18,47.40999984741211,48.29999923706055,47.400001525878906,48.189998626708984,9653800,40.35271072387695,0.016666426393177725,40.395781653267996,39.121388626098636
2019-05-13,2019,5,13,Monday,19,2019-19,47.90999984741211,48.130001068115234,47.72999954223633,48.04999923706055,11911500,40.2354850769043,-0.002905025334600242,40.38621139526367,39.17268119812012
2019-05-14,2019,5,14,Tuesday,19,2019-19,48.529998779296875,49.31999969482422,48.349998474121094,48.689998626708984,16844200,40.771392822265625,0.01331928133430016,40.42867687770298,39.230209274291994
2019-05-15,2019,5,15,Wednesday,19,2019-19,48.66999816894531,49.380001068115234,48.599998474121094,49.18000030517578,11422500,41.18170928955078,0.010063832478665713,40.508824484688894,39.29677383422852
2019-05-16,2019,5,16,Thursday,19,2019-19,49.27000045776367,49.65999984741211,49.209999084472656,49.58000183105469,17771300,41.51666259765625,0.00813354554446466,40.58777672903879,39.37252769470215
2019-05-17,2019,5,17,Friday,19,2019-19,49.27000045776367,49.54999923706055,49.16999816894531,49.20000076293945,11257000,41.198455810546875,-0.007664556040863912,40.634429931640625,39.44473983764649
2019-05-20,2019,5,20,Monday,20,2019-20,49.040000915527344,49.13999938964844,48.7599983215332,48.849998474121094,13850500,40.90538024902344,-0.007113751128711265,40.62186976841518,39.51839538574219
2019-05-21,2019,5,21,Tuesday,20,2019-20,49.0,49.029998779296875,48.45000076293945,48.599998474121094,10587400,40.6960334777832,-0.005117829732073753,40.62246758597238,39.56561698913574
2019-05-22,2019,5,22,Wednesday,20,2019-20,48.779998779296875,49.709999084472656,48.720001220703125,49.650001525878906,16050400,41.57527542114258,0.021605101731582144,40.697831290108816,39.63258186340332
2019-05-23,2019,5,23,Thursday,20,2019-20,49.5,49.900001525878906,49.459999084472656,49.849998474121094,12199400,41.742740631103516,0.0040280000135795024,40.7654184613909,39.700073623657225
2019-05-24,2019,5,24,Friday,20,2019-20,49.81999969482422,49.88999938964844,49.529998779296875,49.61000061035156,6887600,41.541778564453125,-0.004814299770740216,40.833604267665315,39.7655558013916
2019-05-28,2019,5,28,Tuesday,21,2019-21,49.599998474121094,49.66999816894531,49.029998779296875,49.099998474121094,18614000,41.11471939086914,-0.010280233257740523,40.899396896362305,39.82919548034668
2019-05-29,2019,5,29,Wednesday,21,2019-21,48.7400016784668,49.029998779296875,48.40999984741211,48.61000061035156,12534600,40.704410552978516,-0.009979609345983964,40.944853918892996,39.88278686523437
2019-05-30,2019,5,30,Thursday,21,2019-21,48.720001220703125,49.310001373291016,48.66999816894531,49.25,9087200,41.24032211303711,0.013165933440089539,41.0555054800851,39.944584426879885
2019-05-31,2019,5,31,Friday,21,2019-21,49.0,49.310001373291016,48.779998779296875,49.130001068115234,11368600,41.13984298706055,-0.0024364292233497453,41.111729213169646,40.00487487792969
2019-06-03,2019,6,3,Monday,22,2019-22,49.15999984741211,49.97999954223633,49.02000045776367,49.97999954223633,14167200,41.85159683227539,0.01730084009894517,41.227165767124724,40.07973526000976
2019-06-04,2019,6,4,Tuesday,22,2019-22,50.0,50.279998779296875,49.619998931884766,50.0,12010600,41.86834716796875,0.00040023169869685127,41.30551964896066,40.14789680480957
2019-06-05,2019,6,5,Wednesday,22,2019-22,50.0099983215332,51.13999938964844,49.689998626708984,50.779998779296875,15837600,42.5214958190918,0.015600058165724295,41.401218686785015,40.22744659423828
2019-06-06,2019,6,6,Thursday,22,2019-22,50.90999984741211,51.540000915527344,50.59000015258789,51.400001525878906,15190400,43.04066848754883,0.012209652046716757,41.510076250348774,40.30716407775879
2019-06-07,2019,6,7,Friday,22,2019-22,51.470001220703125,52.189998626708984,51.45000076293945,51.4900016784668,15293600,43.11602783203125,0.0017508869432225627,41.6470456804548,40.388891067504886
2019-06-10,2019,6,10,Monday,23,2019-23,51.540000915527344,51.540000915527344,51.09000015258789,51.380001068115234,9737400,43.02390670776367,-0.002136586529409845,41.79836899893625,40.46927810668945
